Date,Price,Open,High,Low,Change
2/6/2016,67.81,67.546,67.84,67.495,0.0039
2/7/2016,67.81,67.546,67.84,67.495,0.0039
2/8/2016,68.034,67.88,68.068,67.78,0.0033
2/9/2016,67.901,68.054,68.22,67.882,-0.002
2/10/2016,67.861,67.91,67.996,67.798,-0.0006
2/11/2016,68.471,67.862,68.489,67.785,0.009
2/12/2016,68.118,68.471,68.496,68.11,-0.0052
2/13/2016,68.118,68.471,68.496,68.11,-0.0052
2/14/2016,68.118,68.471,68.496,68.11,-0.0052
2/15/2016,68.131,68.119,68.27,68.01,0.0002
2/16/2016,68.474,68.14,68.512,68.061,0.005
2/17/2016,68.329,68.482,68.69,68.314,-0.0021
2/18/2016,68.542,68.322,68.6,68.316,0.0031
2/19/2016,68.545,68.531,68.686,68.521,0
2/20/2016,68.545,68.531,68.686,68.521,0
2/21/2016,68.545,68.531,68.686,68.521,0
2/22/2016,68.533,68.69,68.725,68.505,-0.0002
2/23/2016,68.561,68.553,68.69,68.46,0.0004
2/24/2016,68.431,68.561,68.66,68.386,-0.0019
2/25/2016,68.768,68.431,68.909,68.384,0.0049
2/26/2016,68.737,68.779,68.86,68.63,-0.0005
2/27/2016,68.737,68.779,68.86,68.63,-0.0005
2/28/2016,68.737,68.779,68.86,68.63,-0.0005
2/29/2016,68.208,68.737,68.792,68.203,-0.0077
3/1/2016,67.753,68.206,68.36,67.677,-0.0067
3/2/2016,67.395,67.599,67.765,67.392,-0.0053
3/3/2016,67.122,67.41,67.46,67.121,-0.0041
3/4/2016,66.938,67.121,67.355,66.881,-0.0027
3/5/2016,66.938,67.121,67.355,66.881,-0.0027
3/6/2016,66.938,67.121,67.355,66.881,-0.0027
3/7/2016,66.989,66.989,67.156,66.933,0.0008
3/8/2016,67.313,66.989,67.47,66.988,0.0048
3/9/2016,67.128,67.325,67.515,67.062,-0.0027
3/10/2016,67.302,67.128,67.373,66.895,0.0026
3/11/2016,66.921,67.303,67.352,66.901,-0.0057
3/12/2016,66.921,67.303,67.352,66.901,-0.0057
3/13/2016,66.921,67.303,67.352,66.901,-0.0057
3/14/2016,67.138,66.973,67.246,66.88,0.0032
3/15/2016,67.372,67.138,67.415,67.136,0.0035
3/16/2016,67.173,67.37,67.46,67.173,-0.003
3/17/2016,66.619,66.91,66.958,66.605,-0.0082
3/18/2016,66.384,66.63,66.7,66.256,-0.0035
3/19/2016,66.384,66.63,66.7,66.256,-0.0035
3/20/2016,66.384,66.63,66.7,66.256,-0.0035
3/21/2016,66.5,66.383,66.571,66.383,0.0017
3/22/2016,66.755,66.5,66.84,66.48,0.0038
3/23/2016,66.93,66.755,66.956,66.625,0.0026
3/24/2016,66.916,66.93,66.948,66.822,-0.0002
3/25/2016,66.829,66.916,66.928,66.745,-0.0013
3/26/2016,66.829,66.916,66.928,66.745,-0.0013
3/27/2016,66.829,66.916,66.928,66.745,-0.0013
3/28/2016,66.608,66.79,66.912,66.511,-0.0033
3/29/2016,66.375,66.61,66.66,66.366,-0.0035
3/30/2016,66.375,66.295,66.502,66.265,0
3/31/2016,66.255,66.235,66.358,66.125,-0.0018
4/1/2016,66.365,66.355,66.502,66.27,0.0017
4/2/2016,66.365,66.355,66.502,66.27,0.0017
4/3/2016,66.365,66.355,66.502,66.27,0.0017
4/4/2016,66.106,66.31,66.387,66.024,-0.0039
4/5/2016,66.422,66.112,66.558,66.08,0.0048
4/6/2016,66.517,66.42,66.745,66.38,0.0014
4/7/2016,66.757,66.517,66.826,66.422,0.0036
4/8/2016,66.551,66.757,66.787,66.475,-0.0031
4/9/2016,66.551,66.757,66.787,66.475,-0.0031
4/10/2016,66.551,66.757,66.787,66.475,-0.0031
4/11/2016,66.287,66.555,66.603,66.28,-0.004
4/12/2016,66.283,66.301,66.567,66.272,-0.0001
4/13/2016,66.496,66.277,66.68,66.271,0.0032
4/14/2016,66.597,66.506,66.69,66.479,0.0015
4/15/2016,66.66,66.597,66.68,66.469,0.0009
4/16/2016,66.66,66.597,66.68,66.469,0.0009
4/17/2016,66.66,66.597,66.68,66.469,0.0009
4/18/2016,66.416,66.66,66.72,66.415,-0.0037
4/19/2016,66.15,66.417,66.502,66.129,-0.004
4/20/2016,66.166,66.137,66.36,66.095,0.0002
4/21/2016,66.489,66.165,66.528,66.164,0.0049
4/22/2016,66.66,66.502,66.731,66.457,0.0026
4/23/2016,66.66,66.502,66.731,66.457,0.0026
4/24/2016,66.66,66.502,66.731,66.457,0.0026
4/25/2016,66.685,66.66,66.765,66.59,0.0004
4/26/2016,66.404,66.693,66.852,66.397,-0.0042
4/27/2016,66.362,66.406,66.612,66.344,-0.0006
4/28/2016,66.401,66.391,66.562,66.32,0.0006
4/29/2016,66.425,66.395,66.57,66.29,0.0004
4/30/2016,66.425,66.395,66.57,66.29,0.0004
5/1/2016,66.425,66.395,66.57,66.29,0.0004
5/2/2016,66.346,66.425,66.465,66.32,-0.0012
5/3/2016,66.558,66.343,66.582,66.235,0.0032
5/4/2016,66.627,66.579,66.689,66.5,0.001
5/5/2016,66.558,66.627,66.675,66.458,-0.001
5/6/2016,66.6,66.568,66.715,66.48,0.0006
5/7/2016,66.6,66.568,66.715,66.48,0.0006
5/8/2016,66.6,66.568,66.715,66.48,0.0006
5/9/2016,66.752,66.602,66.8,66.395,0.0023
5/10/2016,66.631,66.752,66.786,66.542,-0.0018
5/11/2016,66.561,66.631,66.845,66.52,-0.0011
5/12/2016,66.757,66.561,66.781,66.52,0.0029
5/13/2016,66.855,66.757,66.925,66.72,0.0015
5/14/2016,66.855,66.757,66.925,66.72,0.0015
5/15/2016,66.855,66.757,66.925,66.72,0.0015
5/16/2016,66.844,66.925,66.944,66.73,-0.0002
5/17/2016,66.825,66.845,66.901,66.675,-0.0003
5/18/2016,67.14,66.824,67.169,66.824,0.0047
5/19/2016,67.436,67.143,67.61,67.103,0.0044
5/20/2016,67.408,67.436,67.545,67.32,-0.0004
5/21/2016,67.408,67.436,67.545,67.32,-0.0004
5/22/2016,67.408,67.436,67.545,67.32,-0.0004
5/23/2016,67.409,67.43,67.59,67.243,0
5/24/2016,67.63,67.429,67.78,67.417,0.0033
5/25/2016,67.273,67.63,67.712,67.223,-0.0053
5/26/2016,66.927,67.3,67.415,66.903,-0.0051
5/27/2016,67.031,66.942,67.135,66.875,0.0016
5/28/2016,67.031,66.942,67.135,66.875,0.0016
5/29/2016,67.031,66.942,67.135,66.875,0.0016
5/30/2016,67.171,67.04,67.38,67.031,0.0021
5/31/2016,67.209,67.17,67.338,67.106,0.0006
6/1/2016,67.434,67.207,67.519,67.12,0.0033
6/2/2016,67.268,67.484,67.51,67.215,-0.0025
6/3/2016,67,67.285,67.38,67,-0.004
6/4/2016,67,67.285,67.38,67,-0.004
6/5/2016,67,67.285,67.38,67,-0.004
6/6/2016,66.79,66.888,67.055,66.789,-0.0031
6/7/2016,66.658,66.809,66.97,66.635,-0.002
6/8/2016,66.5,66.658,66.821,66.451,-0.0024
6/9/2016,66.753,66.491,66.795,66.473,0.0038
6/10/2016,66.952,66.783,67.01,66.717,0.003
6/11/2016,66.952,66.783,67.01,66.717,0.003
6/12/2016,66.952,66.783,67.01,66.717,0.003
6/13/2016,67.187,66.96,67.22,66.9,0.0035
6/14/2016,67.292,67.188,67.396,67.061,0.0016
